timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1573215276756,753,HTTP Request,200,,Thread Group 1-6,text,true,,347,170,43,43,http://3.0.52.251:8080/api/module/getAttendance?module_id=IS110&student_id=1,551,0,24
1573215276752,757,HTTP Request,200,,Thread Group 1-3,text,true,,347,170,43,43,http://3.0.52.251:8080/api/module/getAttendance?module_id=IS110&student_id=1,559,0,28
1573215276752,757,HTTP Request,200,,Thread Group 1-4,text,true,,347,170,43,43,http://3.0.52.251:8080/api/module/getAttendance?module_id=IS110&student_id=1,474,0,28
1573215276949,566,HTTP Request,200,,Thread Group 1-16,text,true,,347,170,41,41,http://3.0.52.251:8080/api/module/getAttendance?module_id=IS110&student_id=1,565,0,5
1573215276752,763,HTTP Request,200,,Thread Group 1-5,text,true,,347,170,41,41,http://3.0.52.251:8080/api/module/getAttendance?module_id=IS110&student_id=1,560,0,28
1573215276794,914,HTTP Request,200,,Thread Group 1-8,text,true,,347,170,45,45,http://3.0.52.251:8080/api/module/getAttendance?module_id=IS110&student_id=1,513,0,7
1573215276931,881,HTTP Request,200,,Thread Group 1-15,text,true,,347,170,44,44,http://3.0.52.251:8080/api/module/getAttendance?module_id=IS110&student_id=1,879,0,6
1573215276855,957,HTTP Request,200,,Thread Group 1-11,text,true,,347,170,44,44,http://3.0.52.251:8080/api/module/getAttendance?module_id=IS110&student_id=1,953,0,6
1573215276751,1160,HTTP Request,200,,Thread Group 1-1,text,true,,347,170,42,42,http://3.0.52.251:8080/api/module/getAttendance?module_id=IS110&student_id=1,1160,0,28
1573215276751,1460,HTTP Request,200,,Thread Group 1-2,text,true,,347,170,41,41,http://3.0.52.251:8080/api/module/getAttendance?module_id=IS110&student_id=1,1361,0,28
